datetime,cpu,mem
Wed Sep 25 11:58:14 GMT 2019,28,11936
Wed Sep 25 11:58:19 GMT 2019,36,14855
Wed Sep 25 11:58:25 GMT 2019,36,15675
Wed Sep 25 11:58:50 GMT 2019,0.1,11956
Wed Sep 25 11:58:56 GMT 2019,0.1,14780
Wed Sep 25 11:59:01 GMT 2019,0.1,15602
Wed Sep 25 11:59:07 GMT 2019,17,16027
Wed Sep 25 11:59:12 GMT 2019,17,16559
Wed Sep 25 11:59:18 GMT 2019,17,17061
Wed Sep 25 11:59:24 GMT 2019,14,18676
Wed Sep 25 11:59:29 GMT 2019,25,19081
Wed Sep 25 11:59:35 GMT 2019,25,19390
Wed Sep 25 11:59:40 GMT 2019,25,19833
Wed Sep 25 11:59:46 GMT 2019,29,20141
Wed Sep 25 11:59:52 GMT 2019,29,20512
Wed Sep 25 11:59:57 GMT 2019,20,20846
Wed Sep 25 12:00:23 GMT 2019,0.1,11805
Wed Sep 25 12:00:29 GMT 2019,21,14792
Wed Sep 25 12:00:34 GMT 2019,0.1,15623
